Food Insecurity-Percent; NaturalBreaks
Data downloaded on 25-October-2025
County_FIPS,County,State,Diagnosed Diabetes-2015-Percentage,Food Insecurity-2016-Percentage
46113,Shannon County,South Dakota,No Data,No Data
51560,Clifton Forge City,Virginia,No Data,No Data
51515,Bedford City,Virginia,No Data,No Data
09180,Southeastern Connecticut Planning Region,Connecticut,No Data,No Data
09190,Western Connecticut Planning Region,Connecticut,No Data,No Data
09170,South Central Connecticut Planning Region,Connecticut,No Data,No Data
09110,Capitol Planning Region,Connecticut,No Data,No Data
02063,Chugach Census Area,Alaska,No Data,No Data
02270,Wade Hampton Census Area,Alaska,No Data,No Data
02232,Skagway-Hoonah-Angoon,Alaska,No Data,No Data
09130,Lower Connecticut River Valley Planning Region,Connecticut,No Data,No Data
09120,Greater Bridgeport Planning Region,Connecticut,No Data,No Data
09160,Northwest Hills Planning Region,Connecticut,No Data,No Data
09140,Naugatuck Valley Planning Region,Connecticut,No Data,No Data
09150,Northeastern Connecticut Planning Region,Connecticut,No Data,No Data
02280,Wrangell-Petersburg Census Area,Alaska,No Data,No Data
02201,Prince of Wales - Outer Ketchikan,Alaska,No Data,No Data
02066,Copper River Census Area,Alaska,No Data,No Data
51107,Loudoun County,Virginia,5.8,3.7
51685,Manassas Park City,Virginia,8.1,3.7
38019,Cavalier County,North Dakota,7.2,4.1
51600,Fairfax City,Virginia,6.4,4.2
20067,Grant County,Kansas,7,4.4
38091,Steele County,North Dakota,7.7,4.4
38011,Bowman County,North Dakota,6.5,4.5
51683,Manassas City,Virginia,7.5,4.6
36079,Putnam County,New York,6.3,4.7
38081,Sargent County,North Dakota,6.6,4.7
20203,Wichita County,Kansas,9.1,4.9
48283,La Salle County,Texas,8.3,4.9
38047,Logan County,North Dakota,7.6,5
38041,Hettinger County,North Dakota,6.6,5
51059,Fairfax County,Virginia,5.2,5
51610,Falls Church City,Virginia,6.7,5
31037,Colfax County,Nebraska,7.4,5.1
38065,Oliver County,North Dakota,8.8,5.1
38043,Kidder County,North Dakota,6.6,5.1
51735,Poquoson City,Virginia,8,5.2
38103,Wells County,North Dakota,7,5.3
38057,Mercer County,North Dakota,8.2,5.4
24013,Carroll County,Maryland,8.2,5.4
38075,Renville County,North Dakota,6.3,5.4
13117,Forsyth County,Georgia,7.5,5.5
38021,Dickey County,North Dakota,7.8,5.5
36103,Suffolk County,New York,7.3,5.5
38099,Walsh County,North Dakota,6.3,5.5
36059,Nassau County,New York,6.9,5.6
38023,Divide County,North Dakota,7.2,5.6
17089,Kane County,Illinois,8.6,5.7
17093,Kendall County,Illinois,7.5,5.7
38045,Lamoure County,North Dakota,6.7,5.7
38097,Traill County,North Dakota,7.2,5.7
51069,Frederick County,Virginia,7.6,5.8
06069,San Benito County,California,7.9,5.9
22023,Cameron Parish,Louisiana,8.5,5.9
24031,Montgomery County,Maryland,6.8,5.9
27019,Carver County,Minnesota,5.5,5.9
38067,Pembina County,North Dakota,7.6,5.9
51061,Fauquier County,Virginia,7,5.9
38089,Stark County,North Dakota,7.3,6
38055,Mclean County,North Dakota,9,6
38015,Burleigh County,North Dakota,7.2,6
51153,Prince William County,Virginia,9.4,6
20175,Seward County,Kansas,7.9,6.1
34027,Morris County,New Jersey,6.2,6.1
38087,Slope County,North Dakota,6.7,6.1
38059,Morton County,North Dakota,6.6,6.1
38063,Nelson County,North Dakota,8.4,6.1
27139,Scott County,Minnesota,6.1,6.2
38051,Mcintosh County,North Dakota,6.5,6.2
24035,Queen Anne&#39;s County,Maryland,7.6,6.2
38025,Dunn County,North Dakota,7.5,6.2
20187,Stanton County,Kansas,7.2,6.3
38061,Mountrail County,North Dakota,10.4,6.3
34019,Hunterdon County,New Jersey,5.8,6.3
20057,Ford County,Kansas,8.7,6.4
38039,Griggs County,North Dakota,6.8,6.4
24021,Frederick County,Maryland,8.5,6.4
38077,Richland County,North Dakota,6.7,6.4
38073,Ransom County,North Dakota,8,6.5
38049,Mchenry County,North Dakota,5.6,6.5
51145,Powhatan County,Virginia,7.4,6.5
38001,Adams County,North Dakota,7.2,6.5
53001,Adams County,Washington,9.9,6.5
27163,Washington County,Minnesota,6.5,6.6
27165,Watonwan County,Minnesota,7.4,6.6
24027,Howard County,Maryland,7.3,6.6
27039,Dodge County,Minnesota,8,6.6
24009,Calvert County,Maryland,8,6.6
27105,Nobles County,Minnesota,7.6,6.6
48137,Edwards County,Texas,8.4,6.6
38031,Foster County,North Dakota,6.2,6.6
51179,Stafford County,Virginia,7.6,6.7
17133,Monroe County,Illinois,7.3,6.8
17111,Mchenry County,Illinois,7.4,6.8
17097,Lake County,Illinois,7.6,6.8
20075,Hamilton County,Kansas,8,6.8
27171,Wright County,Minnesota,6.7,6.8
38007,Billings County,North Dakota,6.1,6.8
38095,Towner County,North Dakota,6.8,6.8
